Wavelength (nm)	Reflectance (%)
377.35	0.0000
377.48	0.0000
377.62	0.0000
377.75	0.0000
377.88	0.0000
378.02	22.3810
378.15	200.0000
378.28	175.1000
378.41	0.0000
378.55	200.0000
378.68	137.0000
378.81	200.0000
378.95	200.0000
379.08	200.0000
379.21	200.0000
379.35	55.6129
379.48	165.6279
379.61	190.6483
379.74	129.5020
379.88	45.4512
380.01	76.5567
380.14	102.2688
380.28	52.5367
380.41	46.6442
380.54	132.5130
380.68	124.6516
380.81	75.4785
380.94	60.7641
381.07	87.3910
381.21	91.8596
381.34	34.8368
381.47	58.5703
381.61	118.6998
381.74	99.1812
381.87	20.8889
382.00	90.1264
382.14	116.1331
382.27	53.0534
382.40	32.6714
382.54	85.9392
382.67	95.3128
382.80	62.2895
382.93	89.8035
383.07	100.5387
383.20	92.6614
383.33	117.7855
383.47	76.9068
383.60	74.3148
383.73	101.0864
383.86	102.1095
384.00	61.5110
384.13	97.8025
384.26	109.2925
384.40	80.6393
384.53	63.8649
384.66	77.8738
384.79	92.6259
384.93	80.1299
385.06	58.4640
385.19	61.9191
385.33	69.3544
385.46	48.0501
385.59	61.5716
385.72	99.7741
385.86	91.8407
385.99	86.4632
386.12	88.6289
386.25	59.9232
386.39	66.6489
386.52	82.7388
386.65	77.1365
386.79	57.2644
386.92	92.6697
387.05	100.5803
387.18	73.6193
387.32	63.8836
387.45	102.2581
387.58	91.0493
387.71	72.0281
387.85	78.2371
387.98	78.2114
388.11	80.9214
388.25	70.7043
388.38	60.9278
388.51	74.4954
388.64	99.6335
388.78	102.1872
388.91	77.5294
389.04	103.2772
389.17	94.7316
389.31	58.4309
389.44	47.4301
389.57	78.0098
389.70	71.7072
389.84	77.6860
389.97	82.2419
390.10	88.9941
390.24	93.6424
390.37	72.4317
390.50	69.9565
390.63	75.7240
390.77	68.0586
390.90	69.5165
391.03	86.8402
391.16	78.5888
391.30	80.7930
391.43	94.7427
391.56	72.9893
391.69	77.0416
391.83	95.8069
391.96	73.5477
392.09	63.6348
392.22	91.2453
392.36	93.7174
392.49	63.6186
392.62	67.5808
392.75	76.9564
392.89	73.7124
393.02	79.1414
393.15	68.5325
393.28	90.8260
393.42	81.9768
393.55	80.8531
393.68	68.3564
393.81	90.4598
393.95	88.9567
394.08	84.3917
394.21	75.6520
394.34	74.2878
394.48	77.7055
394.61	68.4080
394.74	75.4122
394.87	74.7730
395.01	96.1039
395.14	82.5544
395.27	73.2400
395.40	80.6437
395.54	85.7805
395.67	61.0672
395.80	72.4236
395.93	87.0830
396.07	87.3440
396.20	83.8045
396.33	87.7299
396.46	91.7079
396.59	99.4122
396.73	81.3841
396.86	81.5273
396.99	98.7757
397.12	115.5804
397.26	65.5821
397.39	68.0241
397.52	84.4783
397.65	77.1785
397.79	47.1899
397.92	91.4234
398.05	104.7785
398.18	82.3039
398.32	71.6644
398.45	79.4622
398.58	83.8301
398.71	78.0310
398.84	77.3720
398.98	77.8403
399.11	83.6747
399.24	81.1692
399.37	81.1997
399.51	86.0485
399.64	86.5854
399.77	82.9132
399.90	86.7625
400.03	76.5828
400.17	70.5857
400.30	74.7702
400.43	74.7937
400.56	68.8852
400.70	84.9419
400.83	91.6789
400.96	90.2259
401.09	84.7222
401.23	86.0957
401.36	79.2719
401.49	79.1887
401.62	82.0059
401.75	89.0141
401.89	83.7699
402.02	82.0197
402.15	82.0448
402.28	83.8052
402.41	87.5011
402.55	77.4042
402.68	74.7673
402.81	82.3923
402.94	87.2474
403.08	77.8514
403.21	84.1297
403.34	96.1185
403.47	87.6548
403.60	75.7744
403.74	86.1790
403.87	91.0745
404.00	89.8708
404.13	96.8385
404.26	96.5349
404.40	91.6330
404.53	97.2551
404.66	84.4841
404.79	78.0923
404.93	91.3627
405.06	89.0394
405.19	80.0251
405.32	83.6305
405.45	92.1738
405.59	93.0467
405.72	70.2551
405.85	81.1265
405.98	93.3665
406.11	87.5711
406.25	72.4864
406.38	95.3039
406.51	93.2402
406.64	88.9006
406.77	85.2733
406.91	94.1889
407.04	96.3604
407.17	94.8227
407.30	83.9383
407.43	83.4038
407.57	88.6784
407.70	90.6758
407.83	92.5023
407.96	90.3779
408.09	100.5814
408.23	102.4920
408.36	85.3594
408.49	81.6588
408.62	99.6796
408.75	93.2385
408.89	86.6645
409.02	93.8196
409.15	93.4541
409.28	96.0874
409.41	84.1523
409.55	83.4555
409.68	97.2230
409.81	94.8948
