Wavelength (nm)	Reflectance (%)
424.03	103.4176
424.16	107.2577
424.29	107.9187
424.42	111.3987
424.55	113.1244
424.69	112.7355
424.82	113.3842
424.95	108.6028
425.08	107.4651
425.21	110.1679
425.34	109.3836
425.47	108.1236
425.60	111.2964
425.74	110.4025
425.87	107.9501
426.00	110.1460
426.13	109.1374
426.26	109.4441
426.39	105.2051
426.52	107.9633
426.66	111.9794
426.79	102.9222
426.92	98.7623
427.05	105.2839
427.18	105.9138
427.31	102.3144
427.44	107.4002
427.57	113.1730
427.71	110.8431
427.84	104.3686
427.97	101.5606
428.10	107.2727
428.23	112.8248
428.36	105.7858
428.49	105.0218
428.62	108.7186
428.76	110.5826
428.89	102.8154
429.02	103.5412
429.15	110.3965
429.28	109.9936
429.41	106.2508
429.54	104.2040
429.67	111.4212
429.81	113.3901
429.94	108.1525
430.07	100.8589
430.20	104.4043
430.33	104.3648
430.46	101.2335
430.59	106.9563
430.72	111.3484
430.85	112.4442
430.99	108.7507
431.12	105.0609
431.25	105.7798
431.38	109.5050
431.51	102.5617
431.64	102.9553
431.77	108.4248
431.90	109.6793
432.03	106.9382
432.17	110.1687
432.30	114.4416
432.43	112.7506
432.56	109.5459
432.69	107.0008
432.82	109.1214
432.95	107.7293
433.08	108.4699
433.21	108.2842
433.35	112.6618
433.48	111.3819
433.61	112.7216
433.74	109.7630
433.87	112.3862
434.00	111.0739
434.13	110.4887
434.26	107.3260
434.39	110.7823
434.53	108.9248
434.66	110.3804
434.79	106.1127
434.92	110.0778
435.05	109.8746
435.18	104.6286
435.31	102.4190
435.44	108.3174
435.57	110.0325
435.70	107.6410
435.84	105.7568
435.97	108.3903
436.10	109.3825
436.23	104.8337
436.36	104.4734
436.49	110.4518
436.62	107.2065
436.75	105.0744
436.88	105.8328
437.01	110.1598
437.14	110.7969
437.28	107.8190
437.41	105.3074
437.54	108.2353
437.67	110.0278
437.80	101.6244
437.93	102.5911
438.06	109.5162
438.19	109.2553
438.32	104.3732
438.45	108.6079
438.58	111.0137
438.72	109.5184
438.85	107.1100
438.98	106.3192
439.11	108.6492
439.24	108.8591
439.37	104.5227
439.50	106.3672
439.63	109.5363
439.76	110.9718
439.89	110.8754
440.02	109.9327
440.15	109.6229
440.29	111.0347
440.42	108.5860
440.55	105.0796
440.68	111.1989
440.81	112.6005
440.94	106.0230
441.07	106.9888
441.20	112.3636
441.33	109.1099
441.46	106.3274
441.59	110.4622
441.72	111.5162
441.85	109.4300
441.99	106.4592
442.12	105.9549
442.25	106.1203
442.38	108.3423
442.51	108.2058
442.64	110.3798
442.77	112.0052
442.90	112.5492
443.03	109.8699
443.16	106.8918
443.29	108.3535
443.42	106.3952
443.55	105.8208
443.68	105.7980
443.82	109.5319
443.95	106.7870
444.08	107.9976
444.21	107.0988
444.34	107.3918
444.47	107.0570
444.60	109.8356
444.73	107.3479
444.86	107.5767
444.99	108.2038
445.12	109.6383
445.25	107.4272
445.38	108.8669
445.51	111.0746
445.64	114.4592
445.78	107.8207
445.91	106.6377
446.04	110.9857
446.17	107.6557
446.30	102.6399
446.43	109.3556
446.56	112.1287
446.69	106.4148
446.82	105.1975
446.95	107.0995
447.08	107.6629
447.21	105.8874
447.34	106.9514
