Wavelength (nm)	Reflectance (%)
377.35	0.0000
377.48	0.0000
377.62	0.0000
377.75	44.3404
377.88	0.0000
378.02	129.5238
378.15	200.0000
378.28	200.0000
378.41	67.1111
378.55	200.0000
378.68	0.0000
378.81	200.0000
378.95	200.0000
379.08	200.0000
379.21	200.0000
379.35	20.3871
379.48	155.0233
379.61	183.1172
379.74	122.1502
379.88	38.4268
380.01	70.7732
380.14	98.4146
380.28	49.6184
380.41	43.9158
380.54	128.0160
380.68	119.0780
380.81	69.7558
380.94	55.3023
381.07	84.4487
381.21	92.2233
381.34	39.1370
381.47	64.9125
381.61	126.5009
381.74	108.7899
381.87	32.9877
382.00	99.7398
382.14	125.4935
382.27	60.6556
382.40	36.4857
382.54	85.9392
382.67	94.5348
382.80	59.7338
382.93	86.7509
383.07	98.0135
383.20	93.2850
383.33	120.3785
383.47	81.5652
383.60	80.3333
383.73	108.7531
383.86	107.3632
384.00	63.0489
384.13	95.2654
384.26	104.4410
384.40	73.2603
384.53	57.9090
384.66	75.2819
384.79	94.1622
384.93	82.8254
385.06	62.3392
385.19	65.7035
385.33	71.5065
385.46	47.7497
385.59	60.7035
385.72	98.3655
385.86	90.2787
385.99	85.2649
386.12	88.0510
386.25	59.7915
386.39	67.2872
386.52	84.0053
386.65	79.4095
386.79	59.8851
386.92	96.1267
387.05	104.4743
387.18	77.7704
387.32	68.8093
387.45	109.4370
387.58	99.4841
387.71	81.5337
387.85	87.9609
387.98	86.3252
388.11	86.2264
388.25	74.8978
388.38	63.7268
388.51	75.9109
388.64	100.1832
388.78	102.6845
388.91	75.8930
389.04	98.7752
389.17	89.5842
389.31	54.2819
389.44	44.7007
389.57	78.2146
389.70	75.7308
389.84	84.7839
389.97	89.8874
390.10	95.8533
390.24	99.0353
390.37	75.8071
390.50	71.1523
390.63	76.6742
390.77	69.4369
390.90	71.7094
391.03	90.2374
391.16	83.3618
391.30	85.6300
391.43	99.7804
391.56	77.1855
391.69	79.6158
391.83	96.9528
391.96	74.7567
392.09	64.4984
392.22	93.1950
392.36	96.8889
392.49	66.8169
392.62	69.5983
392.75	77.8108
392.89	71.9608
393.02	75.2335
393.15	63.2074
393.28	84.4820
393.42	74.3552
393.55	73.5621
393.68	61.7137
393.81	85.8393
393.95	86.0188
394.08	83.5330
394.21	75.9439
394.34	75.7287
394.48	78.9927
394.61	70.5282
394.74	77.7856
394.87	77.6334
395.01	98.0699
395.14	83.4292
395.27	72.1679
395.40	78.6625
395.54	83.4146
395.67	59.7036
395.80	72.0187
395.93	86.8773
396.07	86.6702
396.20	82.6422
396.33	85.8427
396.46	88.9038
396.59	96.6678
396.73	78.7578
396.86	77.7919
396.99	94.6226
397.12	111.9111
397.26	62.7321
397.39	66.9483
397.52	85.8127
397.65	79.6532
397.79	50.1647
397.92	94.0824
398.05	106.3691
398.18	83.2914
398.32	72.7114
398.45	80.2992
398.58	85.0705
398.71	79.8305
398.84	78.8116
398.98	78.7510
399.11	84.8459
399.24	82.2186
399.37	81.9757
399.51	87.1535
399.64	88.5854
399.77	85.2765
399.90	89.1062
400.03	78.7730
400.17	72.6889
400.30	76.7267
400.43	76.0816
400.56	69.5287
400.70	85.8807
400.83	92.4271
400.96	90.1367
401.09	83.7037
401.23	85.0401
401.36	77.4921
401.49	77.1305
401.62	80.3800
401.75	88.6836
401.89	84.3409
402.02	83.8113
402.15	84.6835
402.28	87.2181
402.41	91.6453
402.55	81.6755
402.68	78.6136
402.81	85.8573
402.94	90.0739
403.08	79.3270
403.21	84.2012
403.34	95.3364
403.47	86.2609
403.60	73.8276
403.74	84.1097
403.87	89.6223
404.00	88.6795
404.13	95.9493
404.26	96.5108
404.40	92.0734
404.53	97.9361
404.66	85.9675
404.79	80.0308
404.93	92.8212
405.06	90.3810
405.19	81.4160
405.32	84.3251
405.45	92.5537
405.59	93.8059
405.72	70.5483
405.85	80.4309
405.98	92.5423
406.11	86.6131
406.25	71.0342
406.38	94.3233
406.51	93.4604
406.64	89.5392
406.77	85.8490
406.91	94.9091
407.04	96.7491
407.17	93.9002
407.30	81.8618
407.43	80.6863
407.57	85.2819
407.70	86.6964
407.83	89.1598
407.96	87.8005
408.09	98.4729
408.23	101.3805
408.36	85.2009
408.49	81.5200
408.62	99.6255
408.75	93.8588
408.89	87.3888
409.02	94.5700
409.15	94.2497
409.28	96.9202
409.41	84.5767
409.55	83.2603
409.68	96.3247
409.81	94.0149
