Wavelength (nm)	Intensity
377.35	818.90
377.48	600.80
377.62	603.70
377.75	611.20
377.88	825.80
378.02	809.00
378.15	813.00
378.28	782.40
378.41	858.00
378.55	825.90
378.68	815.40
378.81	790.40
378.95	821.40
379.08	804.50
379.21	779.60
379.35	836.50
379.48	838.20
379.61	893.10
379.74	811.00
379.88	800.70
380.01	877.20
380.14	924.90
380.28	856.00
380.41	783.90
380.54	831.30
380.68	847.10
380.81	763.70
380.94	843.50
381.07	886.10
381.21	891.30
381.34	813.10
381.47	761.20
381.61	960.30
381.74	822.50
381.87	782.20
382.00	830.00
382.14	907.20
382.27	858.40
382.40	800.90
382.54	880.30
382.67	878.00
382.80	788.70
382.93	795.50
383.07	816.70
383.20	816.10
383.33	850.50
383.47	792.10
383.60	774.80
383.73	959.00
383.86	851.80
384.00	809.80
384.13	801.70
384.26	852.90
384.40	870.80
384.53	816.80
384.66	869.50
384.79	834.10
384.93	803.00
385.06	807.60
385.19	826.40
385.33	932.10
385.46	846.90
385.59	791.10
385.72	833.90
385.86	782.40
385.99	809.10
386.12	806.80
386.25	790.60
386.39	863.10
386.52	882.40
386.65	814.10
386.79	806.60
386.92	802.80
387.05	902.50
387.18	777.90
387.32	788.70
387.45	849.00
387.58	833.90
387.71	800.90
387.85	793.30
387.98	834.80
388.11	856.10
388.25	836.10
388.38	820.50
388.51	858.10
388.64	862.40
388.78	801.00
388.91	773.20
389.04	814.30
389.17	925.10
389.31	823.30
389.44	848.00
389.57	882.00
389.70	851.30
389.84	802.50
389.97	797.30
390.10	802.60
390.24	849.00
390.37	810.70
390.50	797.60
390.63	889.20
390.77	824.40
390.90	826.70
391.03	820.10
391.16	777.10
391.30	801.10
391.43	806.30
391.56	798.80
391.69	782.70
391.83	871.30
391.96	825.40
392.09	807.80
392.22	915.40
392.36	842.20
392.49	783.50
392.62	809.30
392.75	839.50
392.89	880.70
393.02	787.40
393.15	787.50
393.28	779.30
393.42	913.40
393.55	777.20
393.68	801.00
393.81	751.70
393.95	802.80
394.08	797.60
394.21	797.50
394.34	862.40
394.48	848.20
394.61	855.40
394.74	831.70
394.87	867.50
395.01	839.10
