Wavelength (nm)	Reflectance (%)
377.35	0.0000
377.48	0.0000
377.62	0.0000
377.75	99.2340
377.88	0.0000
378.02	96.6667
378.15	200.0000
378.28	200.0000
378.41	0.0000
378.55	200.0000
378.68	47.0000
378.81	200.0000
378.95	200.0000
379.08	200.0000
379.21	200.0000
379.35	89.2903
379.48	133.1163
379.61	137.6828
379.74	79.6996
379.88	0.0000
380.01	31.6804
380.14	60.2825
380.28	12.5367
380.41	4.3789
380.54	88.3607
380.68	83.3899
380.81	34.1320
380.94	17.3488
381.07	46.7756
381.21	53.9075
381.34	0.0000
381.47	17.4373
381.61	82.1670
381.74	63.0507
381.87	0.0000
382.00	51.3829
382.14	76.6506
382.27	10.9540
382.40	0.0000
382.54	39.9744
382.67	45.7763
382.80	8.2196
382.93	30.1404
383.07	42.2357
383.20	39.1433
383.33	64.9211
383.47	27.0621
383.60	26.9259
383.73	57.1049
383.86	54.9055
384.00	12.4587
384.13	48.2840
384.26	56.9188
384.40	23.8904
384.53	6.7195
384.66	23.3100
384.79	42.4410
384.93	35.3451
385.06	16.4885
385.19	22.6199
385.33	28.5854
385.46	6.0918
385.59	17.4865
385.72	52.9688
385.86	42.7933
385.99	40.0277
386.12	40.1190
386.25	12.0219
386.39	19.2713
386.52	35.7836
386.65	28.4513
386.79	7.1609
386.92	39.9457
387.05	46.3838
387.18	20.7251
387.32	13.6303
387.45	54.0997
387.58	45.2232
387.71	27.4326
387.85	32.6471
387.98	31.2520
388.11	30.0613
388.25	16.0591
388.38	6.4021
388.51	17.3106
388.64	40.9215
388.78	41.6417
388.91	15.0749
389.04	37.3517
389.17	32.0316
389.31	0.0000
389.44	0.0000
389.57	25.0488
389.70	22.6305
389.84	29.2751
389.97	32.7617
390.10	40.3408
390.24	44.0188
390.37	22.6958
390.50	19.9633
390.63	26.2986
390.77	17.6261
390.90	18.9285
391.03	36.2785
391.16	28.3775
391.30	30.6520
391.43	45.8256
391.56	23.6844
391.69	25.8527
391.83	43.0815
391.96	20.9946
392.09	10.9044
392.22	40.6541
392.36	43.5814
392.49	14.7216
392.62	18.1266
392.75	27.5919
392.89	20.3137
393.02	24.2806
393.15	10.8483
393.28	33.8931
393.42	24.1892
393.55	24.2427
393.68	12.7128
393.81	37.3458
393.95	36.5386
394.08	32.8776
394.21	24.4079
394.34	24.0220
394.48	27.1745
394.61	17.4026
394.74	22.2773
394.87	18.8984
395.01	35.5884
395.14	18.7598
395.27	5.1281
395.40	15.1390
395.54	23.2439
395.67	1.4229
395.80	16.2812
395.93	32.0433
396.07	30.7344
396.20	26.2339
396.33	28.8684
396.46	30.4502
396.59	36.4800
396.73	17.7197
396.86	14.9771
396.99	32.2435
397.12	47.2498
397.26	0.0000
397.39	4.1345
397.52	24.7793
397.65	19.6835
397.79	0.0000
397.92	38.9357
398.05	51.0906
398.18	28.3896
398.32	16.1946
398.45	21.3983
398.58	26.4840
398.71	18.3048
398.84	16.5894
398.98	16.8822
399.11	24.1115
399.24	19.6243
399.37	20.5885
399.51	26.7270
399.64	28.7902
399.77	26.0579
399.90	30.8406
400.03	20.8436
400.17	14.6555
400.30	16.0652
400.43	16.9524
400.56	10.3172
400.70	24.5236
400.83	29.6306
400.96	30.2259
401.09	22.5556
401.23	24.3642
401.36	19.1101
401.49	20.0209
401.62	24.2769
401.75	32.5311
401.89	26.0369
402.02	24.3268
402.15	24.2297
402.28	25.5159
402.41	28.5566
402.55	20.6685
402.68	19.1160
402.81	26.1372
402.94	28.3763
403.08	18.7595
403.21	24.2012
403.34	34.4279
403.47	24.8202
403.60	13.2877
403.74	21.0137
403.87	23.7739
404.00	22.0839
404.13	29.2844
404.26	29.0108
404.40	26.3801
404.53	33.7482
404.66	22.2199
404.79	17.2077
404.93	30.9093
405.06	28.5671
405.19	17.8521
405.32	20.4606
405.45	26.9745
405.59	27.7101
405.72	5.5852
405.85	16.5457
405.98	28.0450
406.11	22.5991
406.25	6.9693
406.38	28.1717
406.51	25.4793
406.64	20.9287
406.77	16.2364
406.91	23.3654
407.04	25.1590
407.17	23.9518
407.30	12.2947
407.43	10.3293
407.57	16.4606
407.70	17.7084
407.83	19.8927
407.96	15.7653
408.09	26.1996
408.23	26.9735
408.36	11.6510
408.49	7.0353
408.62	26.8810
408.75	21.7121
408.89	16.8309
409.02	22.3774
409.15	22.0044
409.28	24.8350
409.41	12.2764
409.55	10.9414
409.68	26.3869
409.81	22.9394
