Wavelength (nm)	Reflectance (%)
377.35	0.0000
377.48	0.0000
377.62	0.0000
377.75	7.3191
377.88	0.0000
378.02	42.6667
378.15	200.0000
378.28	200.0000
378.41	0.0000
378.55	200.0000
378.68	0.0000
378.81	200.0000
378.95	200.0000
379.08	200.0000
379.21	200.0000
379.35	54.8387
379.48	129.2093
379.61	139.8345
379.74	81.8340
379.88	0.0000
380.01	26.7010
380.14	55.3895
380.28	8.4864
380.41	1.8021
380.54	87.7836
380.68	85.1785
380.81	36.0330
380.94	19.2425
381.07	47.0064
381.21	52.2807
381.34	0.0000
381.47	13.6502
381.61	78.7993
381.74	59.8986
381.87	0.0000
382.00	50.7361
382.14	76.7837
382.27	12.7661
382.40	0.0000
382.54	48.8256
382.67	56.9595
382.80	21.8170
382.93	45.2772
383.07	54.8822
383.20	48.1008
383.33	70.8265
383.47	28.6460
383.60	24.4815
383.73	50.9383
383.86	46.9652
384.00	4.7285
384.13	44.3580
384.26	56.9372
384.40	28.8037
384.53	14.5257
384.66	32.0785
384.79	48.6885
384.93	38.5115
385.06	16.4885
385.19	19.9191
385.33	23.5409
385.46	2.3366
385.59	14.2014
385.72	50.2407
385.86	40.5329
385.99	39.0957
386.12	39.3541
386.25	11.2977
386.39	17.9947
386.52	34.4222
386.65	27.4652
386.79	6.7644
386.92	41.4299
387.05	49.9407
387.18	25.6556
387.32	18.0495
387.45	58.1642
387.58	48.0928
387.71	29.3708
387.85	33.6681
387.98	32.8130
388.11	31.8509
388.25	17.3978
388.38	8.0567
388.51	18.8991
388.64	41.7539
388.78	42.2834
388.91	16.9358
389.04	39.7186
389.17	35.3947
389.31	0.4255
389.44	0.0000
389.57	28.4293
389.70	25.2373
389.84	31.4852
389.97	34.6012
390.10	40.6249
390.24	43.6518
390.37	21.8140
390.50	17.6953
390.63	23.5837
390.77	16.1802
390.90	17.4030
391.03	34.6758
391.16	27.3528
391.30	30.3877
391.43	44.9860
391.56	22.9041
391.69	26.1473
391.83	43.7639
391.96	20.7889
392.09	10.2084
392.22	38.9182
392.36	39.5685
392.49	9.1571
392.62	12.0218
392.75	21.6493
392.89	15.7647
393.02	22.5592
393.15	11.8762
393.28	37.1467
393.42	29.2278
393.55	29.9640
393.68	17.7289
393.81	41.1813
393.95	39.0584
394.08	33.8606
394.21	24.0150
394.34	23.1751
394.48	25.5600
394.61	16.0692
394.74	21.2902
394.87	18.3742
395.01	34.9411
395.14	18.9569
395.27	5.0118
395.40	14.7001
395.54	22.3293
395.67	0.1779
395.80	14.8079
395.93	31.1011
396.07	30.6595
396.20	26.8412
396.33	30.9402
396.46	33.5636
396.59	40.1948
396.73	22.0796
396.86	20.2681
396.99	37.5965
397.12	52.9778
397.26	2.8500
397.39	8.1586
397.52	27.5585
397.65	20.9764
397.79	0.0000
397.92	37.4135
398.05	49.5705
398.18	26.5458
398.32	14.6443
398.45	20.3193
398.58	26.6955
398.71	19.0774
398.84	18.1836
398.98	19.3012
399.11	26.8443
399.24	21.4704
399.37	21.0445
399.51	25.9515
399.64	26.2927
399.77	22.7299
399.90	27.6531
400.03	18.3129
400.17	12.7436
400.30	15.1801
400.43	16.5442
400.56	10.3807
400.70	24.8861
400.83	30.3414
400.96	31.0193
401.09	23.8148
401.23	26.1049
401.36	21.2404
401.49	22.0701
401.62	26.3004
401.75	33.7260
401.89	26.0199
402.02	23.2535
402.15	22.5154
402.28	23.1277
402.41	26.0216
402.55	18.2517
402.68	16.3157
402.81	22.7462
402.94	24.3875
403.08	14.9405
403.21	20.4765
403.34	31.4259
403.47	22.4607
403.60	11.4474
403.74	19.1091
403.87	22.1144
404.00	19.8534
404.13	26.6809
404.26	25.6398
404.40	22.4325
404.53	29.0750
404.66	17.6370
404.79	13.0769
404.93	28.0982
405.06	26.8282
405.19	17.7018
405.32	21.8128
405.45	29.7827
405.59	31.5061
405.72	10.2479
405.85	21.1335
405.98	32.1871
406.11	25.7179
406.25	9.1372
406.38	29.6884
406.51	26.7574
406.64	21.9462
406.77	17.2616
406.91	24.2210
407.04	25.6608
407.17	24.2616
407.30	12.9937
407.43	11.5009
407.57	17.9172
407.70	19.3413
407.83	21.6393
407.96	17.4695
408.09	27.4256
408.23	28.5735
408.36	13.8002
408.49	9.4228
408.62	29.2092
408.75	24.4536
408.89	19.1408
409.02	24.1372
409.15	23.4961
409.28	26.1661
409.41	13.2818
409.55	11.9957
409.68	27.5192
409.81	24.0234
