Wavelength (nm)	Reflectance (%)
377.35	0.0000
377.48	0.0000
377.62	0.0000
377.75	20.3404
377.88	0.0000
378.02	10.9524
378.15	200.0000
378.28	171.5000
378.41	0.0000
378.55	200.0000
378.68	182.0000
378.81	200.0000
378.95	200.0000
379.08	200.0000
379.21	200.0000
379.35	146.5806
379.48	134.6512
379.61	127.4207
379.74	68.7905
379.88	0.0000
380.01	21.9691
380.14	52.6834
380.28	5.8197
380.41	0.0000
380.54	82.2285
380.68	78.4402
380.81	29.4983
380.94	14.3987
381.07	46.6218
381.21	54.8453
381.34	0.0000
381.47	22.1369
381.61	86.5151
381.74	64.9638
381.87	0.0000
382.00	51.3383
382.14	75.7856
382.27	11.3738
382.40	0.0000
382.54	45.9072
382.67	54.1783
382.80	17.8037
382.93	38.0561
383.07	46.4175
383.20	39.1244
383.33	60.7950
383.47	19.0683
383.60	17.4444
383.73	45.8827
383.86	43.7612
384.00	2.7049
384.13	42.1728
384.26	53.2986
384.40	25.1507
384.53	10.9662
384.66	30.1094
384.79	50.5661
384.93	43.0907
385.06	21.3406
385.19	24.4151
385.33	26.1750
385.46	1.0682
385.59	10.9504
385.72	45.9257
385.86	34.9464
385.99	34.0361
386.12	34.3739
386.25	6.3429
386.39	14.1809
386.52	32.6174
386.65	27.3816
386.79	8.8506
386.92	44.2896
387.05	51.0078
387.18	23.0272
387.32	12.2154
387.45	48.5748
387.58	36.2319
387.71	17.7247
387.85	24.6974
387.98	26.3252
388.11	28.0959
388.25	16.1720
388.38	8.6289
388.51	19.5439
388.64	42.4764
388.78	42.9251
388.91	16.7594
389.04	38.2621
389.17	33.3895
389.31	0.0000
389.44	0.0000
389.57	24.5366
389.70	21.3837
389.84	27.2066
389.97	30.5054
390.10	37.2166
390.24	39.8824
390.37	18.2457
390.50	13.6541
390.63	18.0860
390.77	8.7748
390.90	9.2304
391.03	25.9087
391.16	19.0067
391.30	23.4758
391.43	40.6459
391.56	19.8593
391.69	23.4194
391.83	41.6266
391.96	19.3483
392.09	8.5199
392.22	38.1258
392.36	40.9148
392.49	12.5244
392.62	16.4105
392.75	26.9798
392.89	21.2157
393.02	26.3037
393.15	13.2632
393.28	36.9368
393.42	27.8958
393.55	27.8142
393.68	15.6246
393.81	40.2280
393.95	39.0697
394.08	33.7815
394.21	24.1721
394.34	23.7360
394.48	26.2255
394.61	16.4299
394.74	22.8762
394.87	20.8471
395.01	37.3746
395.14	20.2998
395.27	5.4381
395.40	13.0575
395.54	19.4756
395.67	0.0000
395.80	13.0422
395.93	31.1552
396.07	32.4456
396.20	29.5323
396.33	33.6581
396.46	36.6357
396.59	42.0104
396.73	22.8478
396.86	20.2363
396.99	36.8870
397.12	51.8258
397.26	1.8643
397.39	7.5483
397.52	27.5987
397.65	21.4007
397.79	0.0000
397.92	38.4613
398.05	50.7181
398.18	27.5835
398.32	15.9329
398.45	22.3866
398.58	27.9936
398.71	19.9283
398.84	18.4638
398.98	18.8174
399.11	24.7250
399.24	18.9344
399.37	18.5707
399.51	23.8384
399.64	24.8293
399.77	22.7781
399.90	28.3000
400.03	19.5736
400.17	13.9909
400.30	16.1118
400.43	16.6621
400.56	9.6375
400.70	22.9899
400.83	27.8722
400.96	28.2199
401.09	20.9074
401.23	23.9383
401.36	19.7483
401.49	20.8352
401.62	25.4256
401.75	33.0311
401.89	25.1591
402.02	22.2563
402.15	21.7339
402.28	22.7297
402.41	26.4456
402.55	19.5944
402.68	18.8936
402.81	26.4829
402.94	28.9282
403.08	19.4405
403.21	24.5030
403.34	34.6886
403.47	24.8670
403.60	13.2497
403.74	20.3005
403.87	23.1516
404.00	20.9727
404.13	27.9065
404.26	26.9866
404.40	24.1704
404.53	30.7580
404.66	19.0501
404.79	14.1077
404.93	28.7028
405.06	27.0456
405.19	17.5890
405.32	21.2438
405.45	28.1515
405.59	28.6757
405.72	6.0858
405.85	15.9555
405.98	26.0699
406.11	19.8368
406.25	3.7244
406.38	24.9124
406.51	22.7030
406.64	19.0339
406.77	15.3446
406.91	23.3868
407.04	25.9505
407.17	25.4733
407.30	14.3370
407.43	12.4714
407.57	18.1418
407.70	18.9228
407.83	20.8037
407.96	16.5822
408.09	26.8792
408.23	28.1982
408.36	13.0700
408.49	8.0763
408.62	27.2126
408.75	21.6987
408.89	16.3154
409.02	21.5872
409.15	21.0431
409.28	24.6514
409.41	12.8118
409.55	11.9696
409.68	27.8798
409.81	25.0308
