Wavelength (nm)	Reflectance (%)
424.03	95.0185
424.16	98.4008
424.29	98.5901
424.42	102.0134
424.55	103.7640
424.69	103.5854
424.82	104.4966
424.95	99.3831
425.08	97.8408
425.21	99.7215
425.34	98.2171
425.47	96.4943
425.60	100.1783
425.74	99.6181
425.87	98.0587
426.00	101.2025
426.13	100.7127
426.26	100.9219
426.39	96.9421
426.52	99.9227
426.66	104.3493
426.79	95.9987
426.92	92.7528
427.05	99.8153
427.18	100.6518
427.31	97.0975
427.44	101.9904
427.57	107.5165
427.71	104.8941
427.84	98.3518
427.97	95.5644
428.10	101.3342
428.23	106.8832
428.36	100.0447
428.49	99.4170
428.62	103.1598
428.76	105.1324
428.89	97.7165
429.02	98.3835
429.15	105.0842
429.28	104.4071
429.41	100.2386
429.54	97.3903
429.67	104.3356
429.81	106.2895
429.94	101.4397
430.07	94.9580
430.20	99.6583
430.33	100.5703
430.46	98.0283
430.59	104.1269
430.72	108.4040
430.85	108.9462
430.99	104.7541
431.12	100.9050
431.25	101.3816
431.38	105.1551
431.51	98.4889
431.64	98.9197
431.77	104.1201
431.90	105.0985
432.03	101.8217
432.17	104.4006
432.30	107.9811
432.43	105.7778
432.56	101.9824
432.69	99.2125
432.82	101.3433
432.95	100.3682
433.08	101.2114
433.21	101.4447
433.35	106.2793
433.48	105.0284
433.61	106.1626
433.74	103.4123
433.87	106.0617
434.00	104.5628
434.13	104.3621
434.26	101.7999
434.39	105.8580
434.53	104.4764
434.66	106.2988
434.79	102.2371
434.92	106.3205
435.05	106.0353
435.18	100.8142
435.31	98.6434
435.44	104.2920
435.57	105.4921
435.70	102.5861
435.84	100.2732
435.97	102.6777
436.10	103.7881
436.23	99.4728
436.36	99.4326
436.49	105.6257
436.62	102.2530
436.75	99.5787
436.88	99.8558
437.01	103.4886
437.14	103.4283
437.28	100.3431
437.41	98.2636
437.54	101.7108
437.67	104.2921
437.80	96.6263
437.93	97.8933
438.06	104.5980
438.19	103.9097
438.32	98.5363
438.45	102.3221
438.58	104.5498
438.72	103.0800
438.85	100.8818
438.98	100.1436
439.11	102.6795
439.24	103.0991
439.37	99.1625
439.50	101.3630
439.63	104.9770
439.76	106.7430
439.89	106.6006
440.02	105.2827
440.15	104.5866
440.29	105.8600
440.42	103.1644
440.55	99.5385
440.68	105.5088
440.81	106.7551
440.94	99.7055
441.07	100.2351
441.20	105.3901
441.33	102.2684
441.46	99.5989
441.59	103.9518
441.72	105.3532
441.85	103.5485
441.99	100.6165
442.12	99.8296
442.25	99.5460
442.38	101.3193
442.51	100.7929
442.64	102.6014
442.77	104.3090
442.90	105.1283
443.03	102.6992
443.16	99.9941
443.29	101.6615
443.42	99.9337
443.55	99.7552
443.68	99.9896
443.82	103.7982
443.95	101.2090
444.08	102.2616
444.21	100.7004
444.34	100.4548
444.47	99.8289
444.60	102.3799
444.73	99.9389
444.86	100.6153
444.99	101.6860
445.12	103.1897
445.25	100.9603
445.38	102.1447
445.51	104.0722
445.64	107.2493
445.78	100.6913
445.91	99.5721
446.04	103.9519
446.17	100.5965
446.30	95.4555
446.43	101.9989
446.56	104.9522
446.69	99.4669
446.82	98.5007
