Wavelength (nm)	Reflectance (%)
424.03	172.1290
424.16	164.5473
424.29	150.8025
424.42	139.0715
424.55	148.2204
424.69	150.3401
424.82	152.4430
424.95	156.2700
425.08	133.5798
425.21	150.0307
425.34	131.9060
425.47	147.9287
425.60	160.2240
425.74	122.9296
425.87	138.6348
426.00	152.1845
426.13	160.0955
426.26	137.4452
426.39	128.3767
426.52	140.9568
426.66	177.6897
426.79	139.9008
426.92	117.8118
427.05	177.8825
427.18	168.4319
427.31	130.6710
427.44	139.4143
427.57	139.6113
427.71	151.9418
427.84	127.3988
427.97	138.1798
428.10	171.1874
428.23	151.4221
428.36	128.4205
428.49	102.5494
428.62	180.9722
428.76	169.7514
428.89	128.2872
429.02	116.2881
429.15	133.7039
429.28	177.3776
429.41	125.2305
429.54	124.0944
429.67	136.1012
429.81	154.1447
429.94	130.5480
430.07	121.2596
430.20	157.1029
430.33	166.5283
430.46	127.3979
430.59	126.7031
430.72	145.9417
430.85	126.4144
430.99	135.4094
431.12	118.8556
431.25	152.4533
431.38	161.3147
431.51	125.2063
431.64	118.8455
431.77	157.6605
431.90	153.3762
432.03	120.8507
432.17	112.8839
432.30	131.3940
432.43	139.9018
432.56	122.0629
432.69	128.9107
432.82	134.9930
432.95	146.0466
433.08	128.9369
433.21	129.1983
433.35	131.3378
433.48	134.5792
433.61	122.6817
433.74	131.0605
433.87	128.5982
434.00	144.6622
434.13	122.3931
434.26	123.6107
434.39	139.0613
434.53	137.2369
434.66	123.1458
434.79	121.3126
434.92	125.8598
435.05	152.7484
435.18	116.1983
435.31	122.9579
435.44	144.5040
435.57	128.8213
435.70	117.2486
435.84	104.1867
435.97	141.9798
436.10	159.5767
436.23	112.6450
436.36	110.9928
436.49	126.9603
436.62	133.7446
436.75	121.0002
436.88	132.2017
437.01	124.2133
437.14	125.5829
437.28	114.1379
437.41	118.7992
437.54	147.9858
437.67	135.4443
437.80	109.5170
437.93	101.0429
438.06	158.4872
438.19	137.1305
438.32	102.8385
438.45	113.8726
438.58	128.8473
438.72	143.8683
438.85	125.4617
438.98	105.5601
439.11	117.8365
439.24	134.5858
439.37	124.9855
439.50	116.2268
439.63	136.5862
439.76	116.5787
439.89	110.5379
440.02	113.2194
440.15	126.9946
440.29	137.9098
440.42	111.8012
440.55	109.2429
440.68	139.1152
440.81	149.7012
440.94	112.8441
441.07	108.7418
441.20	145.5323
441.33	128.8355
441.46	112.8733
441.59	116.2291
441.72	119.8487
441.85	122.0201
441.99	120.9426
442.12	118.7857
442.25	136.2691
442.38	124.9294
442.51	125.0959
442.64	108.9156
442.77	128.5297
442.90	125.8862
443.03	113.8731
443.16	111.5513
443.29	122.4530
443.42	135.7363
443.55	110.6257
443.68	115.3910
443.82	110.7580
443.95	116.7357
444.08	118.7757
444.21	118.0608
444.34	118.2088
444.47	121.7993
444.60	118.3687
444.73	118.7303
444.86	119.2205
444.99	132.0004
445.12	118.8463
445.25	111.8779
445.38	120.1737
445.51	130.2893
445.64	120.8227
445.78	112.2898
445.91	103.4166
446.04	147.7954
446.17	123.1171
446.30	101.9481
446.43	126.6288
446.56	127.6735
446.69	110.4961
446.82	111.3250
446.95	125.2308
447.08	127.1898
