Wavelength (nm)	Reflectance (%)
377.35	0.0000
377.48	0.0000
377.62	0.0000
377.75	6.0426
377.88	0.0000
378.02	0.0000
378.15	200.0000
378.28	118.7000
378.41	0.0000
378.55	200.0000
378.68	75.8000
378.81	200.0000
378.95	200.0000
379.08	200.0000
379.21	200.0000
379.35	131.0968
379.48	142.8837
379.61	127.9172
379.74	64.1897
379.88	0.0000
380.01	12.9691
380.14	44.9749
380.28	1.4927
380.41	0.0000
380.54	83.3828
380.68	80.9151
380.81	30.4290
380.94	11.9070
381.07	39.6603
381.21	45.1228
381.34	0.0000
381.47	6.7148
381.61	73.3428
381.74	53.6377
381.87	0.0000
382.00	38.6914
382.14	64.0518
382.27	0.0000
382.40	0.0000
382.54	39.0336
382.67	48.2464
382.80	10.8952
382.93	31.6772
383.07	40.0943
383.20	33.8142
383.33	59.8107
383.47	23.4099
383.60	24.9630
383.73	56.4012
383.86	56.1592
384.00	12.2361
384.13	48.2099
384.26	56.9923
384.40	24.8584
384.53	7.7592
384.66	24.9593
384.79	41.3314
384.93	31.6103
385.06	9.5522
385.19	13.0296
385.33	16.7231
385.46	0.0000
385.59	9.8610
385.72	47.9762
385.86	40.1654
385.99	40.1110
386.12	40.9518
386.25	13.2894
386.39	19.8138
386.52	35.5620
386.65	27.2813
386.79	5.0230
386.92	37.1946
387.05	44.6802
387.18	20.1631
387.32	12.6346
387.45	53.6422
387.58	44.0406
387.71	24.0787
387.85	27.9777
387.98	26.8455
388.11	25.2037
388.25	11.7688
388.38	4.3918
388.51	16.5557
388.64	40.4346
388.78	42.3636
388.91	16.4706
389.04	38.5434
389.17	33.2474
389.31	0.0000
389.44	0.0000
389.57	27.5951
389.70	24.9398
389.84	31.5277
389.97	34.2275
390.10	39.9574
390.24	42.2682
390.37	20.3812
390.50	15.6060
390.63	20.3529
390.77	11.8018
390.90	12.6629
391.03	29.4840
391.16	23.2809
391.30	27.5330
391.43	42.9709
391.56	21.0874
391.69	23.9445
391.83	41.2275
391.96	18.3837
392.09	7.8883
392.22	37.1321
392.36	38.3776
392.49	7.9610
392.62	11.2489
392.75	21.9426
392.89	16.3007
393.02	23.1120
393.15	11.9505
393.28	35.6307
393.42	25.4865
393.55	24.9820
393.68	11.8483
393.81	35.6748
393.95	34.7420
394.08	30.7533
394.21	22.1740
394.34	22.7791
394.48	25.8327
394.61	16.3971
394.74	22.7320
394.87	20.6534
395.01	37.6384
395.14	21.4333
395.27	7.0657
395.40	15.8662
395.54	22.5122
395.67	0.0000
395.80	14.0993
395.93	30.7545
396.07	29.5045
396.20	25.2810
396.33	28.8068
396.46	31.0790
396.59	37.1061
396.73	18.7889
396.86	15.9929
396.99	33.0365
397.12	47.3671
397.26	0.0000
397.39	2.9138
397.52	23.4849
397.65	17.0572
397.79	0.0000
397.92	34.2998
398.05	46.1779
398.18	22.6868
398.32	10.9698
398.45	17.0824
398.58	23.6571
398.71	16.1532
398.84	15.8454
398.98	17.3660
399.11	25.0968
399.24	20.0810
399.37	19.8804
399.51	24.1680
399.64	23.9707
399.77	19.7974
399.90	23.9219
400.03	13.9877
400.17	8.3005
400.30	9.9068
400.43	10.5850
400.56	3.8912
400.70	17.8218
400.83	23.4201
400.96	25.2689
401.09	18.6852
401.23	21.9938
401.36	17.7079
401.49	18.0164
401.62	21.4934
401.75	28.7599
401.89	20.6591
402.02	18.2930
402.15	18.2045
402.28	19.3931
402.41	22.9243
402.55	15.9021
402.68	14.1414
402.81	20.9355
402.94	23.2084
403.08	13.5865
403.21	18.6102
403.34	29.2851
403.47	20.2803
403.60	8.9379
403.74	16.8047
403.87	20.4548
404.00	18.7022
404.13	25.5354
404.26	24.7608
404.40	21.6619
404.53	28.0731
404.66	16.2238
404.79	11.1000
404.93	25.3098
405.06	23.2829
405.19	13.4837
405.32	16.9729
405.45	24.3153
405.59	25.7199
405.72	3.9547
405.85	14.3888
405.98	25.0823
406.11	18.8089
406.25	2.1401
406.38	22.8454
406.51	19.7775
406.64	15.2164
406.77	10.6121
406.91	17.7184
407.04	19.2650
407.17	18.3614
407.30	7.1205
407.43	5.7331
407.57	12.4923
407.70	14.4151
407.83	17.1187
407.96	13.1315
408.09	23.2785
408.23	24.1982
408.36	8.9575
408.49	4.1481
408.62	23.5984
408.75	17.8232
408.89	12.1262
409.02	16.8788
409.15	16.3558
409.28	19.8383
409.41	8.3656
409.55	8.0000
409.68	24.1223
409.81	20.8225
