Wavelength (nm)	Reflectance (%)
377.35	0.0000
377.48	0.0000
377.62	0.0000
377.75	68.0851
377.88	0.0000
378.02	200.0000
378.15	200.0000
378.28	200.0000
378.41	200.0000
378.55	69.8824
378.68	0.0000
378.81	86.8571
378.95	200.0000
379.08	200.0000
379.21	200.0000
379.35	77.2903
379.48	200.0000
379.61	200.0000
379.74	168.9170
379.88	84.0488
380.01	110.7938
380.14	131.9271
380.28	78.3229
380.41	69.3305
380.54	149.3948
380.68	136.6932
380.81	86.0528
380.94	70.7708
381.07	98.9872
381.21	106.2137
381.34	55.8199
381.47	81.8175
381.61	140.6536
381.74	120.7246
381.87	45.0123
382.00	110.1561
382.14	136.7616
382.27	76.6777
382.40	57.8071
382.54	109.1904
382.67	119.0016
382.80	83.7937
382.93	108.3088
383.07	114.4377
383.20	103.3575
383.33	128.5363
383.47	89.7267
383.60	89.4074
383.73	118.3642
383.86	122.0896
384.00	80.9983
384.13	114.0802
384.26	125.2986
384.40	96.9863
384.53	80.5698
384.66	96.1346
384.79	113.5533
384.93	99.1610
385.06	76.0488
385.19	77.7844
385.33	84.2468
385.46	60.7344
385.59	75.8695
385.72	117.2125
385.86	112.3492
385.99	105.6865
386.12	109.1275
386.25	79.9561
386.39	85.4468
386.52	101.1504
386.65	98.4123
386.79	80.0747
386.92	116.9231
387.05	126.7894
387.18	99.8489
387.32	89.1237
387.45	129.8827
387.58	120.2493
387.71	101.1348
387.85	107.5425
387.98	107.3659
388.11	107.3342
388.25	95.9301
388.38	84.0619
388.51	95.5387
388.64	116.5654
388.78	117.5241
388.91	90.4920
389.04	113.4069
389.17	104.4895
389.31	70.9894
389.44	62.3791
389.57	95.3366
389.70	93.2137
389.84	102.5502
389.97	109.7485
390.10	117.4675
390.24	121.9765
390.37	99.6556
390.50	96.8843
390.63	101.9231
390.77	93.3559
390.90	94.8241
391.03	111.9772
391.16	102.3191
391.30	102.9824
391.43	116.8956
391.56	94.5714
391.69	98.0064
391.83	117.0515
391.96	95.8499
392.09	86.2299
392.22	114.4025
392.36	118.6624
392.49	88.8017
392.62	91.9345
392.75	99.2859
392.89	94.9150
393.02	98.3414
393.15	86.9969
393.28	108.5053
393.42	99.9884
393.55	99.0066
393.68	86.7374
393.81	109.3121
393.95	107.6121
394.08	103.1262
394.21	93.9832
394.34	92.1833
394.48	94.3200
394.61	85.2933
394.74	92.9797
394.87	93.6106
395.01	116.3037
395.14	104.1766
395.27	96.2196
395.40	103.3521
395.54	108.6829
395.67	84.7826
395.80	96.0412
395.93	109.4801
396.07	107.9002
396.20	102.0873
396.33	103.4325
396.46	105.7698
396.59	113.3426
396.73	95.9066
396.86	96.7231
396.99	114.3235
397.12	131.7724
397.26	82.6179
397.39	85.4241
397.52	102.3880
397.65	96.2492
397.79	67.6908
397.92	112.7842
398.05	127.3691
398.18	105.9009
398.32	95.9161
398.45	103.4017
398.58	105.1955
398.71	97.8354
398.84	95.0338
398.98	93.3123
399.11	98.4353
399.24	97.3085
399.37	98.5837
399.51	104.8821
399.64	107.3951
399.77	104.1254
399.90	107.4625
400.03	96.8190
400.17	90.3520
400.30	94.2329
400.43	93.1338
400.56	86.5589
400.70	102.6305
400.83	108.4302
400.96	105.9614
401.09	101.2130
401.23	102.9383
401.36	95.8112
401.49	97.0142
401.62	100.2003
401.75	106.5395
401.89	101.4886
402.02	99.8845
402.15	99.4482
402.28	101.5300
402.41	106.0764
402.55	95.8070
402.68	92.5161
402.81	99.3224
402.94	102.8599
403.08	91.3514
403.21	95.3673
403.34	106.0645
403.47	96.9682
403.60	85.8352
403.74	97.9438
403.87	104.9255
404.00	105.0766
404.13	112.9800
404.26	112.1237
404.40	105.8978
404.53	110.6641
404.66	97.9831
404.79	91.9615
404.93	105.8262
405.06	104.5247
405.19	96.7769
405.32	99.9236
405.45	108.4047
405.59	109.2408
405.72	85.1728
405.85	94.3349
405.98	106.3754
406.11	99.4312
406.25	82.7979
406.38	105.0253
406.51	102.7550
406.64	97.0339
406.77	92.5126
406.91	101.3690
407.04	103.1661
407.17	101.0120
407.30	90.7573
407.43	91.1404
407.57	96.7033
407.70	99.3756
407.83	101.9954
407.96	100.0751
408.09	109.7163
408.23	111.1788
408.36	92.9369
408.49	88.1619
408.62	105.8252
408.75	99.6887
408.89	93.6465
409.02	101.8417
409.15	102.6099
409.28	105.5891
409.41	93.5669
409.55	92.7028
409.68	106.2309
409.81	103.7003
