Wavelength (nm)	Reflectance (%)
377.35	0.0000
377.48	0.0000
377.62	0.0000
377.75	101.2766
377.88	0.0000
378.02	200.0000
378.15	200.0000
378.28	200.0000
378.41	200.0000
378.55	130.2353
378.68	0.0000
378.81	200.0000
378.95	200.0000
379.08	200.0000
379.21	200.0000
379.35	61.0323
379.48	181.8140
379.61	200.0000
379.74	141.4545
379.88	62.4634
380.01	96.7216
380.14	126.6515
380.28	81.5681
380.41	80.7242
380.54	165.9399
380.68	154.1837
380.81	103.6964
380.94	87.4751
381.07	112.3718
381.21	116.2807
381.34	63.0469
381.47	85.6502
381.61	144.7034
381.74	126.7029
381.87	53.8025
382.00	120.0149
382.14	146.3438
382.27	82.0700
382.40	57.5500
382.54	105.0432
382.67	112.9919
382.80	78.6622
382.93	105.5509
383.07	115.6296
383.20	107.3260
383.33	132.9085
383.47	92.8012
383.60	91.1111
383.73	119.6790
383.86	123.0846
384.00	82.6172
384.13	116.1543
384.26	128.1654
384.40	99.9269
384.53	83.8120
384.66	99.8036
384.79	118.6060
384.93	105.6888
385.06	83.5550
385.19	87.5202
385.33	96.3845
385.46	73.0014
385.59	87.5972
385.72	128.8737
385.86	120.9678
385.99	110.9792
386.12	112.1190
386.25	80.8285
386.39	84.6649
386.52	99.4406
386.65	95.3872
386.79	76.9023
386.92	113.2489
387.05	122.3713
387.18	96.4048
387.32	87.2198
387.45	127.0499
387.58	118.0406
387.71	99.5674
387.85	104.7643
387.98	102.2114
388.11	102.7004
388.25	90.9624
388.38	79.5000
388.51	92.8021
388.64	117.2723
388.78	120.0588
388.91	94.8877
389.04	120.4745
389.17	112.7158
389.31	79.3191
389.44	70.5359
389.57	102.2585
389.70	97.6057
389.84	104.1511
389.97	108.7713
390.10	114.5420
390.24	117.1482
390.37	93.6625
390.50	89.3517
390.63	94.0769
390.77	85.4234
390.90	87.7412
391.03	106.5525
391.16	100.4719
391.30	102.9956
391.43	117.6835
391.56	95.1343
391.69	97.4557
391.83	114.3090
391.96	91.9143
392.09	81.6155
392.22	110.2893
392.36	115.4908
392.49	86.8646
392.62	91.2664
392.75	99.6684
392.89	94.6275
393.02	96.9843
393.15	84.8793
393.28	105.2750
393.42	96.1313
393.55	96.5953
393.68	85.8844
393.81	109.3458
393.95	109.4426
394.08	106.4821
394.21	98.4846
394.34	98.2658
394.48	102.1091
394.61	93.8069
394.74	101.0980
394.87	99.8101
395.01	119.5644
395.14	105.2115
395.27	95.3671
395.40	102.6499
395.54	108.4878
395.67	85.4111
395.80	95.7713
395.93	108.8736
396.07	106.3280
396.20	100.7260
396.33	102.0889
396.46	105.2027
396.59	113.2174
396.73	96.3426
396.86	96.8078
396.99	114.7826
397.12	133.1271
397.26	84.6536
397.39	87.7414
397.52	105.0067
397.65	98.3502
397.79	68.5580
397.92	112.2603
398.05	125.5570
398.18	103.3619
398.32	92.8255
398.45	100.6992
398.58	103.7628
398.71	98.3537
398.84	97.2271
398.98	97.3534
399.11	102.8505
399.24	101.8267
399.37	101.3775
399.51	105.8611
399.64	106.5659
399.77	102.7267
399.90	105.4750
400.03	95.4663
400.17	89.6055
400.30	94.1677
400.43	93.3515
400.56	87.0483
400.70	103.0116
400.83	109.8051
400.96	108.1367
401.09	104.1852
401.23	106.8272
401.36	100.4404
401.49	100.6473
401.62	102.4271
401.75	107.3277
401.89	100.7727
402.02	97.6535
402.15	96.6667
402.28	98.9047
402.41	104.3634
402.55	95.2028
402.68	93.4056
402.81	101.8326
402.94	106.7150
403.08	95.6486
403.21	100.1403
403.34	110.6070
403.47	100.4880
403.60	87.9189
403.74	98.5865
403.87	103.9601
404.00	103.2139
404.13	111.3458
404.26	111.8011
404.40	107.0695
404.53	113.4429
404.66	101.3325
404.79	94.8231
404.93	107.3753
405.06	104.7570
405.19	95.4461
405.32	98.0468
405.45	105.8200
405.59	106.3735
405.72	82.6269
405.85	92.3326
405.98	104.5281
406.11	98.6410
406.25	82.8188
406.38	105.4133
406.51	103.3160
406.64	98.1287
406.77	93.8046
406.91	102.8164
407.04	104.6926
407.17	102.2582
407.30	91.3535
407.43	91.2166
407.57	96.1452
407.70	98.2504
407.83	101.3447
407.96	100.0469
408.09	110.0245
408.23	112.3398
408.36	95.1481
408.49	90.5980
408.62	108.1399
408.75	101.7499
408.89	94.9255
409.02	101.8882
409.15	101.5624
409.28	103.4186
409.41	90.9227
409.55	89.6182
409.68	102.7454
409.81	100.2444
