Wavelength (nm)	Reflectance (%)
377.35	0.0000
377.48	0.0000
377.62	0.0000
377.75	72.6809
377.88	0.0000
378.02	94.9524
378.15	200.0000
378.28	200.0000
378.41	25.7778
378.55	200.0000
378.68	0.0000
378.81	200.0000
378.95	200.0000
379.08	200.0000
379.21	200.0000
379.35	50.1935
379.48	140.2326
379.61	152.2483
379.74	86.1976
379.88	0.0000
380.01	27.1031
380.14	51.8360
380.28	2.2222
380.41	0.0000
380.54	79.9679
380.68	78.6066
380.81	31.5182
380.94	16.1329
381.07	44.7564
381.21	51.1707
381.34	0.0000
381.47	12.1445
381.61	76.6039
381.74	57.7029
381.87	0.0000
382.00	47.5911
382.14	74.7431
382.27	12.5893
382.40	0.0000
382.54	49.4592
382.67	59.6240
382.80	24.7720
382.93	47.9719
383.07	57.4276
383.20	51.4457
383.33	74.8959
383.47	33.3230
383.60	29.6296
383.73	56.1605
383.86	50.6866
384.00	5.1737
384.13	41.0988
384.26	49.8254
384.40	19.2146
384.53	5.0631
384.66	23.4278
384.79	42.8848
384.93	35.8809
385.06	16.1465
385.19	20.2588
385.33	24.4189
385.46	2.5202
385.59	14.9163
385.72	51.2392
385.86	43.2343
385.99	43.4230
386.12	45.1331
386.25	16.9273
386.39	23.2447
386.52	38.4591
386.65	30.0557
386.79	8.7126
386.92	42.8597
387.05	51.7192
387.18	27.6133
387.32	20.8093
387.45	60.2229
387.58	50.7710
387.71	32.1348
387.85	37.5007
387.98	36.6829
388.11	37.4754
388.25	24.2043
388.38	15.3711
388.51	26.4954
388.64	50.0471
388.78	50.4011
388.91	23.3209
389.04	44.3697
389.17	38.4579
389.31	2.6596
389.44	0.0000
389.57	30.7854
389.70	29.0484
389.84	35.4097
389.97	38.3521
390.10	44.1751
390.24	45.7835
390.37	22.6131
390.50	19.2486
390.63	25.6199
390.77	18.2613
390.90	21.1351
391.03	40.0868
391.16	33.1371
391.30	36.6784
391.43	52.8267
391.56	32.0128
391.69	36.3543
391.83	55.9313
391.96	35.0011
392.09	25.9721
392.22	54.9937
392.36	56.0086
392.49	24.3164
392.62	26.2489
392.75	33.9426
392.89	26.3791
393.02	30.9152
393.15	18.7245
393.28	41.0651
393.42	31.0347
393.55	30.6806
393.68	18.6730
393.81	42.8972
393.95	42.7194
394.08	39.1714
394.21	30.9074
394.34	30.3905
394.48	32.9455
394.61	23.1949
394.74	29.1423
394.87	26.3286
395.01	44.0639
395.14	28.9487
395.27	16.3531
395.40	25.5590
395.54	33.4756
395.67	11.2648
395.80	24.9634
395.93	40.2202
396.07	38.7451
396.20	33.6579
396.33	36.7966
396.46	39.3677
396.59	45.7148
396.73	27.7682
396.86	26.3527
396.99	43.1687
397.12	58.0871
397.26	8.8179
397.39	15.0793
397.52	34.7625
397.65	28.5623
397.79	0.0000
397.92	43.8484
398.05	54.4732
398.18	30.5055
398.32	18.8926
398.45	25.8756
398.58	32.1763
398.71	25.1997
398.84	24.8406
398.98	25.9415
399.11	32.7560
399.24	28.2818
399.37	28.6500
399.51	33.8805
399.64	34.2244
399.77	31.2379
399.90	36.0344
400.03	26.5491
400.17	21.0470
400.30	24.6273
400.43	26.0952
400.56	20.2145
400.70	35.1572
400.83	41.0600
400.96	41.0490
401.09	32.5093
401.23	33.3735
401.36	27.1371
401.49	27.1081
401.62	30.0736
401.75	38.9463
401.89	32.5739
402.02	30.9690
402.15	30.6583
402.28	32.1129
402.41	35.5040
402.55	28.8084
402.68	28.1839
402.81	36.5981
402.94	40.8111
403.08	31.8541
403.21	36.5903
403.34	46.9335
403.47	37.4043
403.60	25.4778
403.74	33.9621
403.87	38.3112
404.00	36.9300
404.13	44.1923
404.26	44.0269
404.40	40.3539
404.53	46.7502
404.66	35.1724
404.79	30.3692
404.93	44.7078
405.06	43.2055
405.19	33.8221
405.32	37.1601
405.45	44.2408
405.59	44.7813
405.72	22.5125
405.85	33.2459
405.98	45.4802
406.11	40.6830
406.25	26.0776
406.38	48.6091
406.51	47.0154
406.64	42.1848
406.77	37.5331
406.91	44.8984
407.04	46.6148
407.17	45.0258
407.30	34.1291
407.43	32.9983
407.57	38.7249
407.70	39.5472
407.83	41.3037
407.96	37.1315
408.09	47.0473
408.23	48.6442
408.36	33.5362
408.49	29.8415
408.62	50.1906
408.75	45.5120
408.89	40.6547
409.02	47.7919
409.15	48.1923
409.28	51.5432
409.41	40.3243
409.55	40.2451
409.68	55.5424
409.81	53.7173
