Wavelength (nm)	Reflectance (%)
377.35	0.0000
377.48	0.0000
377.62	0.0000
377.75	119.9149
377.88	0.0000
378.02	112.3810
378.15	200.0000
378.28	200.0000
378.41	0.0000
378.55	200.0000
378.68	18.8000
378.81	200.0000
378.95	200.0000
379.08	200.0000
379.21	200.0000
379.35	21.9355
379.48	119.5814
379.61	127.2552
379.74	70.8300
379.88	0.0000
380.01	16.7113
380.14	42.2415
380.28	0.0000
380.41	0.0000
380.54	70.7094
380.68	69.7886
380.81	23.2211
380.94	8.3389
381.07	40.1026
381.21	48.3190
381.34	0.0000
381.47	13.0798
381.61	79.6092
381.74	60.0290
381.87	0.0000
382.00	51.7621
382.14	77.9150
382.27	13.8269
382.40	0.0000
382.54	47.5776
382.67	55.5981
382.80	18.5225
382.93	40.3298
383.07	50.6801
383.20	45.8331
383.33	70.0505
383.47	32.1118
383.60	31.1111
383.73	59.4938
383.86	55.7612
384.00	11.2648
384.13	45.6728
384.26	54.5115
384.40	22.8493
384.53	7.6887
384.66	26.0870
384.79	45.5989
384.93	37.2774
385.06	16.6676
385.19	20.5984
385.33	24.2296
385.46	2.4868
385.59	15.7163
385.72	54.4487
385.86	47.7917
385.99	47.8835
386.12	48.8555
386.25	19.7750
386.39	24.4734
386.52	38.0158
386.65	28.6351
386.79	6.8333
386.92	40.5792
387.05	48.5367
387.18	24.7311
387.32	18.4687
387.45	58.8328
387.58	48.7362
387.71	30.6854
387.85	36.2120
387.98	35.1057
388.11	34.5992
388.25	21.3817
388.38	11.7680
388.51	22.2490
388.64	45.0524
388.78	45.9572
388.91	21.0428
389.04	44.1214
389.17	40.0368
389.31	5.6117
389.44	0.0000
389.57	31.5463
389.70	28.2409
389.84	33.2845
389.97	36.1677
390.10	42.5846
390.24	46.1506
390.37	24.7210
390.50	22.1627
390.63	28.6606
390.77	20.8694
390.90	22.6198
391.03	40.3744
391.16	33.7438
391.30	36.9559
391.43	53.1367
391.56	32.2814
391.69	35.7524
391.83	52.5837
391.96	29.4319
392.09	17.2460
392.22	43.6226
392.36	43.3873
392.49	12.6414
392.62	15.1135
392.75	25.3220
392.89	21.1503
393.02	28.3644
393.15	17.9938
393.28	43.1526
393.42	34.6023
393.55	33.6607
393.68	20.9820
393.81	44.4112
393.95	43.3409
394.08	40.0640
394.21	32.9167
394.34	33.9652
394.48	38.2145
394.61	28.3534
394.74	33.2348
394.87	29.7702
395.01	45.8861
395.14	28.0370
395.27	14.8159
395.40	24.4305
395.54	31.9878
395.67	10.1739
395.80	25.7619
395.93	42.4513
396.07	41.3547
396.20	36.7469
396.33	40.1197
396.46	42.0172
396.59	47.8435
396.73	30.7163
396.86	30.7866
396.99	48.6783
397.12	64.2311
397.26	14.2179
397.39	17.7586
397.52	34.3612
397.65	25.8047
397.79	0.0000
397.92	41.2685
398.05	53.8691
398.18	32.2485
398.32	22.3557
398.45	29.6571
398.58	36.3590
398.71	29.4344
398.84	29.0725
398.98	30.2387
399.11	37.2920
399.24	32.6348
399.37	33.0154
399.51	37.3118
399.64	37.3366
399.77	33.6109
399.90	38.2000
400.03	27.6718
400.17	21.8300
400.30	23.7050
400.43	24.3175
400.56	17.6133
400.70	32.2943
400.83	38.4318
400.96	40.0238
401.09	32.3889
401.23	33.4660
401.36	27.5326
401.49	27.0992
401.62	29.5965
401.75	38.7260
401.89	33.4517
402.02	32.8620
402.15	34.0028
402.28	36.9824
402.41	40.9113
402.55	33.4909
402.68	31.8408
402.81	38.8532
402.94	41.0369
403.08	30.5973
403.21	34.9067
403.34	44.8163
403.47	34.9046
403.60	22.7706
403.74	30.9993
403.87	34.7048
404.00	33.1086
404.13	41.0921
404.26	41.7043
404.40	38.6789
404.53	45.8969
404.66	35.0865
404.79	30.1769
404.93	44.7380
405.06	43.6702
405.19	34.7995
405.32	38.5049
405.45	46.0583
405.59	47.0737
405.72	24.8153
405.85	34.9883
405.98	46.2617
406.11	40.9138
406.25	25.5078
406.38	47.6073
406.51	45.9858
406.64	42.3532
406.77	38.1720
406.91	45.8824
407.04	47.8657
407.17	46.5680
407.30	35.1091
407.43	34.3432
407.57	41.1821
407.70	43.3002
407.83	46.1324
407.96	43.4202
408.09	53.4081
408.23	53.9327
408.36	37.1389
408.49	32.1319
408.62	50.4072
408.75	44.9850
408.89	40.0544
409.02	47.1411
409.15	47.4365
409.28	51.7005
409.41	40.1023
409.55	39.4512
409.68	54.2520
409.81	51.3007
