Wavelength (nm)	Intensity
377.35	814.40
377.48	667.40
377.62	604.00
377.75	612.80
377.88	834.70
378.02	815.10
378.15	817.70
378.28	786.90
378.41	860.30
378.55	833.20
378.68	809.00
378.81	796.10
378.95	825.40
379.08	816.30
379.21	780.90
379.35	834.50
379.48	845.80
379.61	897.00
379.74	814.70
379.88	802.00
380.01	871.10
380.14	933.90
380.28	857.70
380.41	782.80
380.54	836.50
380.68	846.50
380.81	762.60
380.94	857.80
381.07	894.60
381.21	892.30
381.34	811.50
381.47	763.30
381.61	968.30
381.74	831.20
381.87	785.60
382.00	840.40
382.14	917.30
382.27	859.10
382.40	790.20
382.54	876.60
382.67	886.80
382.80	788.70
382.93	793.50
383.07	813.00
383.20	820.70
383.33	854.70
383.47	791.90
383.60	774.40
383.73	969.40
383.86	854.60
384.00	813.20
384.13	807.20
384.26	862.40
384.40	879.00
384.53	819.60
384.66	858.00
384.79	839.00
384.93	799.90
385.06	806.80
385.19	830.10
385.33	943.80
385.46	859.10
385.59	797.70
385.72	834.40
385.86	780.80
385.99	812.10
386.12	809.00
386.25	787.80
386.39	871.70
386.52	883.30
386.65	814.30
386.79	806.60
386.92	807.90
387.05	904.70
387.18	773.60
387.32	789.90
387.45	859.80
387.58	829.80
387.71	806.00
387.85	800.10
387.98	842.20
388.11	852.70
388.25	831.10
388.38	815.50
388.51	854.00
388.64	866.00
388.78	808.50
388.91	780.50
389.04	820.40
389.17	931.80
389.31	829.20
389.44	858.40
389.57	883.90
389.70	853.30
389.84	805.10
389.97	799.00
390.10	803.20
390.24	851.30
390.37	810.60
390.50	802.30
390.63	891.50
390.77	827.60
390.90	827.10
391.03	822.70
391.16	778.50
391.30	808.30
391.43	811.00
391.56	806.60
391.69	789.70
391.83	871.30
391.96	827.00
392.09	804.80
392.22	913.30
392.36	846.80
392.49	794.20
392.62	817.50
392.75	845.10
392.89	888.90
393.02	789.90
393.15	790.50
393.28	778.10
393.42	917.20
393.55	776.80
393.68	804.20
393.81	753.90
393.95	802.20
394.08	797.00
394.21	797.60
394.34	865.50
394.48	853.90
394.61	858.00
394.74	832.50
394.87	870.80
395.01	850.50
395.14	849.90
395.27	792.00
395.40	919.30
395.54	915.90
395.67	824.80
395.80	811.20
395.93	857.40
396.07	805.40
396.20	793.80
396.33	749.70
396.46	802.90
396.59	818.50
396.73	816.80
396.86	787.50
396.99	872.90
397.12	840.20
397.26	829.70
397.39	816.60
397.52	1124.20
397.65	936.20
397.79	826.10
397.92	808.70
398.05	874.50
398.18	805.80
398.32	810.50
398.45	844.10
398.58	846.10
398.71	853.70
398.84	780.60
398.98	816.10
399.11	852.90
399.24	846.60
399.37	808.00
399.51	784.00
399.64	821.80
399.77	829.30
399.90	820.10
400.03	816.30
400.17	781.20
400.30	886.30
400.43	852.50
400.56	824.10
400.70	829.90
400.83	800.40
400.96	791.90
401.09	829.70
401.23	837.40
401.36	891.90
401.49	804.20
401.62	804.70
401.75	814.20
401.89	793.60
402.02	815.40
402.15	823.40
402.28	847.80
402.41	846.50
402.55	803.00
402.68	809.20
402.81	894.70
402.94	865.50
403.08	796.30
403.21	776.80
403.34	858.80
403.47	859.00
403.60	802.40
403.74	846.00
403.87	859.20
404.00	795.10
404.13	802.50
404.26	775.90
404.40	785.90
404.53	839.30
404.66	810.50
404.79	785.20
404.93	862.20
405.06	808.60
405.19	772.20
405.32	832.10
405.45	854.10
405.59	868.10
405.72	820.00
405.85	786.30
405.98	987.70
406.11	791.20
406.25	792.50
406.38	809.60
406.51	849.70
406.64	819.60
406.77	776.90
406.91	776.60
407.04	847.40
407.17	814.20
407.30	836.00
407.43	812.50
407.57	903.70
407.70	883.20
407.83	792.50
407.96	819.70
408.09	782.00
408.23	914.70
408.36	824.50
408.49	801.70
408.62	938.20
408.75	839.30
408.89	798.20
409.02	832.70
409.15	825.20
409.28	899.20
409.41	848.00
409.55	800.20
409.68	945.00
409.81	846.90
409.94	794.30
410.07	829.00
410.20	832.90
410.34	815.80
410.47	821.90
410.60	831.90
410.73	857.40
410.86	796.60
411.00	820.80
411.13	791.90
411.26	838.10
411.39	828.90
411.52	844.40
411.66	805.30
411.79	811.00
411.92	795.80
412.05	813.60
412.18	806.70
412.31	845.60
412.45	860.80
412.58	864.10
412.71	785.60
412.84	845.70
412.97	905.60
413.11	824.90
413.24	832.00
413.37	868.60
413.50	927.40
413.63	836.20
413.76	812.10
413.90	862.00
414.03	814.10
414.16	807.10
414.29	842.80
414.42	826.40
414.56	931.90
414.69	802.80
414.82	819.50
414.95	829.90
415.08	849.00
415.21	821.10
415.35	842.10
415.48	752.50
415.61	877.60
415.74	875.10
415.87	781.00
416.00	834.60
416.14	945.10
416.27	830.60
416.40	802.70
416.53	829.60
416.66	852.60
416.79	827.40
416.93	791.60
417.06	878.70
417.19	835.50
417.32	816.80
417.45	806.10
417.58	773.90
417.72	878.10
417.85	800.40
417.98	817.60
418.11	858.10
418.24	811.00
418.37	809.30
418.51	829.60
418.64	833.20
418.77	905.20
418.90	840.00
419.03	781.80
419.16	839.60
419.29	870.80
419.43	803.00
419.56	787.30
419.69	940.40
419.82	876.20
419.95	822.00
420.08	863.40
420.22	906.60
420.35	951.60
420.48	863.80
420.61	811.40
420.74	775.80
420.87	857.40
421.00	789.40
421.14	810.90
421.27	868.20
421.40	899.10
421.53	847.30
421.66	825.40
421.79	822.90
421.93	822.90
422.06	822.80
422.19	796.60
422.32	878.80
422.45	874.20
422.58	837.70
422.71	810.10
422.85	871.60
422.98	871.00
423.11	781.50
423.24	777.50
423.37	791.00
423.50	803.90
423.63	821.30
423.77	788.00
423.90	797.70
424.03	849.60
424.16	853.70
424.29	821.50
424.42	771.70
424.55	796.30
424.69	790.00
424.82	823.30
424.95	842.50
425.08	795.70
425.21	841.30
425.34	805.60
425.47	827.40
425.60	843.40
425.74	775.00
425.87	807.80
426.00	828.00
426.13	839.30
426.26	786.30
426.39	796.90
426.52	816.60
426.66	894.80
426.79	853.60
426.92	800.70
427.05	932.40
427.18	887.30
427.31	811.30
427.44	811.20
427.57	794.80
427.71	829.20
427.84	787.70
427.97	822.90
428.10	887.40
428.23	829.90
428.36	804.50
428.49	737.30
428.62	957.40
428.76	925.70
428.89	838.40
429.02	779.50
429.15	821.00
429.28	925.40
429.41	799.30
429.54	816.50
429.67	811.90
429.81	856.20
429.94	817.30
430.07	802.00
430.20	873.00
430.33	898.90
430.46	795.50
430.59	791.80
430.72	824.20
430.85	779.90
430.99	816.10
431.12	791.40
431.25	881.20
431.38	898.20
431.51	822.60
431.64	821.70
431.77	907.70
431.90	900.60
432.03	821.60
432.17	796.50
432.30	841.50
432.43	855.50
432.56	824.20
432.69	849.00
432.82	839.80
432.95	885.80
433.08	826.00
433.21	827.20
433.35	820.30
433.48	823.20
433.61	786.50
433.74	817.00
433.87	804.60
434.00	861.10
434.13	801.80
434.26	847.60
434.39	845.70
434.53	858.90
434.66	818.10
434.79	819.50
434.92	806.50
435.05	898.10
435.18	805.50
435.31	847.10
435.44	892.50
435.57	839.90
435.70	821.20
435.84	795.90
435.97	893.60
436.10	941.80
436.23	805.10
436.36	793.10
436.49	814.50
436.62	848.80
436.75	817.40
436.88	851.10
437.01	800.50
437.14	792.80
437.28	770.40
437.41	802.50
437.54	892.70
437.67	862.70
437.80	798.20
437.93	776.50
438.06	944.80
438.19	878.50
438.32	791.10
438.45	796.00
438.58	852.00
438.72	907.30
438.85	861.80
438.98	817.80
439.11	852.50
439.24	900.90
439.37	886.50
439.50	852.50
439.63	875.10
439.76	810.70
439.89	795.60
440.02	806.50
440.15	857.10
440.29	898.60
440.42	824.90
440.55	816.00
440.68	903.80
440.81	957.60
440.94	838.00
441.07	827.50
441.20	933.20
441.33	844.60
441.46	814.70
441.59	804.50
441.72	827.30
441.85	843.90
441.99	862.80
442.12	862.20
442.25	919.50
442.38	862.00
442.51	844.30
442.64	784.90
