Wavelength (nm)	Intensity
377.35	821.38
377.48	602.00
377.62	636.25
377.75	629.50
377.88	851.25
378.02	838.00
378.15	829.88
378.28	801.50
378.41	892.00
378.55	857.75
378.68	831.00
378.81	811.25
378.95	847.25
379.08	845.00
379.21	802.00
379.35	860.50
379.48	869.75
379.61	927.25
379.74	835.00
379.88	816.62
380.01	904.88
380.14	971.88
380.28	881.00
380.41	803.38
380.54	857.75
380.68	873.88
380.81	776.25
380.94	873.00
381.07	922.62
381.21	921.38
381.34	834.00
381.47	775.75
381.61	993.75
381.74	853.88
381.87	795.62
382.00	855.50
382.14	941.50
382.27	889.75
382.40	809.88
382.54	898.88
382.67	918.12
382.80	807.75
382.93	805.12
383.07	835.62
383.20	845.00
383.33	878.75
383.47	808.75
383.60	793.25
383.73	1002.62
383.86	883.50
384.00	829.50
384.13	820.38
384.26	887.25
384.40	902.12
384.53	839.88
384.66	875.50
384.79	860.88
384.93	829.38
385.06	829.50
385.19	845.75
385.33	974.00
385.46	877.25
385.59	812.12
385.72	849.62
385.86	804.75
385.99	832.00
386.12	825.62
386.25	807.00
386.39	893.62
386.52	906.50
386.65	837.25
386.79	819.12
386.92	828.75
387.05	934.50
387.18	791.50
387.32	801.62
387.45	883.75
387.58	850.62
387.71	824.25
387.85	815.12
387.98	858.25
388.11	880.00
388.25	847.00
388.38	841.50
388.51	882.62
388.64	894.38
388.78	819.62
388.91	798.12
389.04	841.88
389.17	960.88
389.31	852.62
389.44	877.38
389.57	917.25
389.70	879.88
389.84	822.62
389.97	814.38
390.10	828.50
390.24	878.50
390.37	825.88
390.50	813.75
390.63	918.50
390.77	846.38
390.90	842.62
391.03	832.38
391.16	803.00
391.30	830.38
391.43	824.50
391.56	821.62
391.69	814.38
391.83	903.38
391.96	848.25
392.09	823.00
392.22	941.75
392.36	869.00
392.49	803.75
392.62	834.50
392.75	870.50
392.89	915.88
393.02	806.38
393.15	803.12
393.28	796.50
393.42	953.88
393.55	795.75
393.68	822.12
393.81	771.50
393.95	834.62
394.08	812.50
394.21	816.88
394.34	893.38
394.48	882.75
394.61	881.12
394.74	844.50
394.87	897.25
395.01	868.50
395.14	867.38
395.27	811.00
395.40	951.00
395.54	949.50
395.67	844.50
395.80	829.00
395.93	878.00
396.07	823.38
396.20	815.75
396.33	769.25
396.46	823.88
396.59	851.62
396.73	828.12
396.86	803.00
396.99	916.38
397.12	867.62
397.26	853.25
397.39	834.00
397.52	1175.50
397.65	964.75
397.79	842.38
397.92	828.00
398.05	900.00
398.18	833.12
398.32	841.50
398.45	869.88
398.58	869.25
398.71	880.75
398.84	797.62
398.98	826.62
399.11	879.62
399.24	876.12
399.37	832.88
399.51	799.12
399.64	850.75
399.77	854.38
399.90	835.75
400.03	832.25
400.17	800.62
400.30	915.62
400.43	866.38
400.56	835.75
400.70	851.25
400.83	817.75
400.96	811.12
401.09	839.25
401.23	853.75
401.36	918.25
401.49	814.12
401.62	836.25
401.75	836.50
401.89	815.00
402.02	834.88
402.15	838.75
402.28	865.38
402.41	870.12
402.55	816.88
402.68	826.50
402.81	921.88
402.94	893.62
403.08	810.62
403.21	798.38
403.34	892.38
403.47	886.75
403.60	824.25
403.74	868.38
403.87	898.00
404.00	821.00
404.13	817.00
404.26	787.00
404.40	806.50
404.53	869.88
404.66	828.12
404.79	793.38
404.93	881.62
405.06	860.75
405.19	794.75
405.32	840.75
405.45	875.00
405.59	895.00
405.72	841.62
405.85	809.12
405.98	1028.12
406.11	819.12
406.25	803.75
406.38	825.75
406.51	878.00
406.64	845.38
406.77	797.12
406.91	791.50
407.04	867.00
407.17	838.75
407.30	851.75
407.43	830.62
407.57	927.62
407.70	911.88
407.83	813.75
407.96	836.50
408.09	809.12
408.23	948.50
408.36	838.12
408.49	822.38
408.62	962.75
408.75	865.12
408.89	819.25
409.02	857.38
409.15	856.00
409.28	934.12
409.41	864.25
409.55	815.25
409.68	983.38
409.81	869.38
409.94	819.38
410.07	847.25
410.20	866.62
410.34	842.12
410.47	839.38
410.60	844.00
410.73	886.00
410.86	825.00
411.00	844.38
411.13	810.38
411.26	862.75
411.39	861.50
411.52	864.62
411.66	827.00
411.79	834.50
411.92	817.75
412.05	828.38
412.18	824.25
412.31	870.50
412.45	886.38
412.58	874.88
412.71	797.50
412.84	868.00
412.97	938.12
413.11	849.88
413.24	855.00
413.37	892.62
413.50	959.88
413.63	855.12
413.76	823.62
413.90	885.38
414.03	840.00
414.16	826.62
414.29	857.50
414.42	851.00
414.56	973.62
414.69	828.12
414.82	834.50
414.95	848.88
415.08	872.75
415.21	833.38
415.35	858.00
415.48	773.25
415.61	901.62
415.74	896.00
415.87	792.88
416.00	871.88
416.14	984.62
416.27	850.00
416.40	812.75
416.53	846.12
416.66	881.75
416.79	847.75
416.93	806.12
417.06	910.00
417.19	862.75
417.32	829.50
417.45	821.88
417.58	799.88
417.72	909.38
417.85	817.75
417.98	840.38
418.11	890.88
418.24	841.50
418.37	824.12
418.51	841.50
418.64	861.12
418.77	931.75
418.90	853.00
419.03	801.62
419.16	868.00
419.29	897.75
419.43	818.62
419.56	799.38
419.69	975.75
419.82	905.00
419.95	837.88
420.08	879.50
420.22	927.38
420.35	984.88
420.48	884.38
420.61	823.50
420.74	790.50
420.87	886.88
421.00	809.88
421.14	831.25
421.27	889.25
421.40	940.75
421.53	862.88
421.66	840.75
421.79	848.25
421.93	853.62
422.06	834.75
422.19	813.50
422.32	897.75
422.45	903.75
422.58	857.12
422.71	826.75
422.85	899.50
422.98	898.12
423.11	798.00
423.24	796.25
423.37	819.00
423.50	827.00
423.63	849.12
423.77	808.75
423.90	822.88
424.03	874.88
424.16	870.75
424.29	837.25
424.42	791.38
424.55	819.25
424.69	811.00
424.82	840.00
424.95	868.25
425.08	818.38
425.21	863.12
425.34	824.12
425.47	856.00
425.60	875.00
425.74	791.38
425.87	837.00
426.00	850.75
426.13	869.00
426.26	812.38
426.39	808.62
426.52	844.62
426.66	925.00
426.79	870.25
426.92	817.88
427.05	951.38
427.18	917.75
427.31	832.88
427.44	828.75
427.57	815.88
427.71	854.25
427.84	809.12
427.97	836.12
428.10	916.62
428.23	855.88
428.36	829.25
428.49	755.00
428.62	988.12
428.76	960.38
428.89	863.12
429.02	799.25
429.15	848.88
429.28	958.88
429.41	824.62
429.54	827.62
429.67	830.75
429.81	883.38
429.94	838.38
430.07	820.00
430.20	904.25
430.33	930.75
430.46	818.25
430.59	809.62
430.72	851.00
430.85	802.12
430.99	832.00
431.12	811.12
431.25	906.25
431.38	926.62
431.51	845.88
431.64	842.38
431.77	933.12
431.90	933.00
432.03	844.88
432.17	814.62
432.30	863.75
432.43	882.62
432.56	843.50
432.69	866.00
432.82	864.88
432.95	922.38
433.08	844.50
433.21	842.88
433.35	842.62
433.48	856.00
433.61	806.00
433.74	829.25
433.87	816.38
434.00	890.00
434.13	818.38
434.26	870.75
434.39	874.25
434.53	892.12
434.66	839.50
434.79	838.88
434.92	833.88
435.05	923.88
435.18	825.25
435.31	861.00
435.44	925.00
435.57	866.38
435.70	842.12
435.84	806.50
435.97	919.50
436.10	974.75
436.23	826.00
436.36	811.00
436.49	840.38
436.62	876.38
436.75	830.88
436.88	869.88
437.01	829.75
437.14	808.00
437.28	787.62
437.41	820.38
437.54	921.12
437.67	901.50
437.80	827.38
437.93	800.12
438.06	984.88
438.19	902.75
438.32	808.62
438.45	811.50
438.58	883.00
438.72	941.75
438.85	888.62
438.98	836.88
439.11	884.88
439.24	936.50
439.37	907.12
439.50	869.38
439.63	910.62
439.76	835.12
439.89	818.00
440.02	825.38
440.15	880.00
440.29	927.62
440.42	843.38
440.55	840.75
440.68	938.75
440.81	994.38
440.94	856.50
441.07	840.25
441.20	960.88
441.33	875.38
441.46	829.50
441.59	819.00
441.72	854.62
441.85	871.75
441.99	883.25
442.12	879.88
442.25	954.75
442.38	890.38
442.51	872.62
442.64	804.62
442.77	865.25
442.90	849.38
443.03	806.00
443.16	824.62
443.29	862.25
443.42	930.88
443.55	832.25
443.68	853.25
443.82	799.50
443.95	838.00
444.08	833.25
444.21	836.62
444.34	821.50
444.47	849.88
444.60	844.12
444.73	857.12
444.86	859.62
444.99	930.88
445.12	873.50
445.25	854.00
445.38	868.50
445.51	906.25
445.64	853.62
445.78	819.38
445.91	795.00
446.04	977.88
446.17	891.62
446.30	795.50
446.43	882.88
446.56	868.25
446.69	819.38
446.82	820.75
446.95	897.50
447.08	931.62
447.21	857.62
447.34	824.75
447.47	911.12
447.60	906.75
447.73	844.88
447.86	874.88
447.99	860.25
448.13	873.12
448.26	884.88
448.39	835.25
448.52	902.00
448.65	907.25
448.78	842.25
448.91	839.50
449.04	889.62
449.17	849.75
449.30	871.88
449.43	855.50
449.56	858.38
449.69	929.50
449.82	842.88
449.95	802.25
450.08	918.88
450.21	898.50
450.34	844.25
450.47	843.75
450.60	902.00
450.73	868.00
450.87	842.00
451.00	860.62
451.13	899.00
451.26	1031.00
451.39	841.38
451.52	869.50
451.65	852.38
451.78	843.88
451.91	828.12
452.04	819.88
452.17	947.12
452.30	947.50
452.43	830.88
452.56	831.62
452.69	916.00
452.82	824.12
452.95	884.50
453.08	820.50
453.21	781.88
453.34	913.38
453.47	827.00
453.60	900.50
453.73	962.12
453.86	899.38
453.99	870.38
454.12	862.12
454.25	852.88
